broker_code,broker_name,category,source
AN,Wanteg Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
AO,ERDIKHA ELIT SEKURITAS,Smartmoney,tradersaham.com/broker-flow (Bantuan)
AR,Binaartha Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
AT,Phintraco Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
BR,Trust Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
CD,Mega Capital Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
DD,Makindo Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
DH,SINARMAS SEKURITAS,Smartmoney,tradersaham.com/broker-flow (Bantuan)
DU,KAF Sekuritas Indonesia,Smartmoney,tradersaham.com/broker-flow (Bantuan)
DX,Bahana Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
EL,Evergreen Sekuritas Indonesia,Smartmoney,tradersaham.com/broker-flow (Bantuan)
FO,Forte Global Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
FZ,Waterfront Sekuritas Indonesia,Smartmoney,tradersaham.com/broker-flow (Bantuan)
GA,BNC Sekuritas Indonesia,Smartmoney,tradersaham.com/broker-flow (Bantuan)
GI,Webull Sekuritas Indonesia,Smartmoney,tradersaham.com/broker-flow (Bantuan)
GR,PANIN SEKURITAS Tbk.,Smartmoney,tradersaham.com/broker-flow (Bantuan)
HP,Henan Putihrai Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
IC,Integrity Capital Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
ID,Anugerah Sekuritas Indonesia,Smartmoney,tradersaham.com/broker-flow (Bantuan)
IN,INVESTINDO NUSANTARA SEKURITA,Smartmoney,tradersaham.com/broker-flow (Bantuan)
IT,INTI TELADAN SEKURITAS,Smartmoney,tradersaham.com/broker-flow (Bantuan)
IU,Indo Capital Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
KI,Ciptadana Sekuritas Asia,Smartmoney,tradersaham.com/broker-flow (Bantuan)
KK,Phillip Sekuritas Indonesia,Smartmoney,tradersaham.com/broker-flow (Bantuan)
LG,Trimegah Sekuritas Indonesia Tbk.,Smartmoney,tradersaham.com/broker-flow (Bantuan)
MU,Minna Padi Investama Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
NI,BNI Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
OD,BRI Danareksa Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
PC,FAC Sekuritas Indonesia,Smartmoney,tradersaham.com/broker-flow (Bantuan)
PO,Pilarmas Investindo Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
PP,Aldiracita Sekuritas Indonesia,Smartmoney,tradersaham.com/broker-flow (Bantuan)
PS,PARAMITRA ALFA SEKURITAS,Smartmoney,tradersaham.com/broker-flow (Bantuan)
QA,Tuntun Sekuritas Indonesia,Smartmoney,tradersaham.com/broker-flow (Bantuan)
RF,Buana Capital Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
RG,Profindo Sekuritas Indonesia,Smartmoney,tradersaham.com/broker-flow (Bantuan)
RO,Pluang Maju Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
RS,Yulie Sekuritas Indonesia Tbk.,Smartmoney,tradersaham.com/broker-flow (Bantuan)
SA,Elit Sukses Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
SF,Surya Fajar Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
SH,Artha Sekuritas Indonesia,Smartmoney,tradersaham.com/broker-flow (Bantuan)
SQ,BCA Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
SS,Supra Sekuritas Indonesia,Smartmoney,tradersaham.com/broker-flow (Bantuan)
TS,Dwidana Sakti Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
XA,NH Korindo Sekuritas Indonesia,Smartmoney,tradersaham.com/broker-flow (Bantuan)
ZR,Bumiputera Sekuritas,Smartmoney,tradersaham.com/broker-flow (Bantuan)
AG,Kiwoom Sekuritas Indonesia,Whale,tradersaham.com/broker-flow (Bantuan)
AH,Shinhan Sekuritas Indonesia,Whale,tradersaham.com/broker-flow (Bantuan)
AI,UOB Kay Hian Sekuritas,Whale,tradersaham.com/broker-flow (Bantuan)
AK,UBS Sekuritas Indonesia,Whale,tradersaham.com/broker-flow (Bantuan)
BK,J.P. Morgan Sekuritas Indonesia,Whale,tradersaham.com/broker-flow (Bantuan)
BQ,Korea Investment and Sekuritas Indonesia,Whale,tradersaham.com/broker-flow (Bantuan)
DP,DBS Vickers Sekuritas Indonesia,Whale,tradersaham.com/broker-flow (Bantuan)
FS,Yuanta Sekuritas Indonesia,Whale,tradersaham.com/broker-flow (Bantuan)
GW,HSBC Sekuritas Indonesia,Whale,tradersaham.com/broker-flow (Bantuan)
HD,KGI Sekuritas Indonesia,Whale,tradersaham.com/broker-flow (Bantuan)
MI,Victoria Sekuritas Indonesia,Whale,tradersaham.com/broker-flow (Bantuan)
RX,Macquarie Sekuritas Indonesia,Whale,tradersaham.com/broker-flow (Bantuan)
TP,OCBC Sekuritas Indonesia,Whale,tradersaham.com/broker-flow (Bantuan)
YU,CGS International Sekuritas Indonesia,Whale,tradersaham.com/broker-flow (Bantuan)
ZP,Maybank Sekuritas Indonesia,Whale,tradersaham.com/broker-flow (Bantuan)
AD,OSO Sekuritas Indonesia,Retail,tradersaham.com/broker-flow (Bantuan)
AF,Harita Kencana Sekuritas,Retail,tradersaham.com/broker-flow (Bantuan)
AP,Pacific Sekuritas Indonesia,Retail,tradersaham.com/broker-flow (Bantuan)
AZ,Sucor Sekuritas,Retail,tradersaham.com/broker-flow (Bantuan)
BF,Inti Fikasa Sekuritas,Retail,tradersaham.com/broker-flow (Bantuan)
DR,RHB Sekuritas Indonesia,Retail,tradersaham.com/broker-flow (Bantuan)
LS,Reliance Sekuritas Indonesia Tbk.,Retail,tradersaham.com/broker-flow (Bantuan)
OK,NET SEKURITAS,Retail,tradersaham.com/broker-flow (Bantuan)
PF,Danasakti Sekuritas Indonesia,Retail,tradersaham.com/broker-flow (Bantuan)
PI,Magenta Kapital Sekuritas Indonesia,Retail,tradersaham.com/broker-flow (Bantuan)
RB,Ina Sekuritas Indonesia,Retail,tradersaham.com/broker-flow (Bantuan)
TF,Laba Sekuritas Indonesia,Retail,tradersaham.com/broker-flow (Bantuan)
XC,Ajaib Sekuritas Asia,Retail,tradersaham.com/broker-flow (Bantuan)
XL,Stockbit Sekuritas Digital,Retail,tradersaham.com/broker-flow (Bantuan)
YB,Yakin Bertumbuh Sekuritas,Retail,tradersaham.com/broker-flow (Bantuan)
YJ,Lotus Andalan Sekuritas,Retail,tradersaham.com/broker-flow (Bantuan)
YO,Amantara Sekuritas Indonesia,Retail,tradersaham.com/broker-flow (Bantuan)
BB,Verdhana Sekuritas Indonesia,Mix,tradersaham.com/broker-flow (Bantuan)
BS,Equity Sekuritas Indonesia,Mix,tradersaham.com/broker-flow (Bantuan)
CC,MANDIRI SEKURITAS,Mix,tradersaham.com/broker-flow (Bantuan)
CP,KB Valbury Sekuritas,Mix,tradersaham.com/broker-flow (Bantuan)
EP,MNC Sekuritas,Mix,tradersaham.com/broker-flow (Bantuan)
ES,EKOKAPITAL SEKURITAS,Mix,tradersaham.com/broker-flow (Bantuan)
IF,SAMUEL SEKURITAS INDONESIA,Mix,tradersaham.com/broker-flow (Bantuan)
IH,Indo Harvest Sekuritas,Mix,tradersaham.com/broker-flow (Bantuan)
II,Danatama Makmur Sekuritas,Mix,tradersaham.com/broker-flow (Bantuan)
KZ,CLSA Sekuritas Indonesia,Mix,tradersaham.com/broker-flow (Bantuan)
MG,Semesta Indovest Sekuritas,Mix,tradersaham.com/broker-flow (Bantuan)
PD,Indo Premier Sekuritas,Mix,tradersaham.com/broker-flow (Bantuan)
PG,Panca Global Sekuritas,Mix,tradersaham.com/broker-flow (Bantuan)
YP,Mirae Asset Sekuritas Indonesia,Mix,tradersaham.com/broker-flow (Bantuan)
